sensor_id,timestamp,value
0,1636126732,225
0,1636126735,226
0,1636126738,227
0,1636126741,228
0,1636126744,229
0,1636126747,230
0,1636126750,231
0,1636126753,232
0,1636126756,233
0,1636126759,234
0,1636126762,235
0,1636126765,236
0,1636126768,237
0,1636126771,238
0,1636126774,239
0,1636126777,240
0,1636126780,241
0,1636126783,242
0,1636126786,243
0,1636126789,244
0,1636126792,245
0,1636126795,246
0,1636126798,247
0,1636126801,248
0,1636126804,249
0,1636126807,250
0,1636126810,251
0,1636126813,252
0,1636126816,253
0,1636126819,254
0,1636126822,255
0,1636126825,256
0,1636126828,257
0,1636126831,258
0,1636126834,259
0,1636126837,260
0,1636126840,261
0,1636126843,262
0,1636126846,263
0,1636126849,264
0,1636126852,265
0,1636126855,266
0,1636126858,267
0,1636126861,268
0,1636126864,269
0,1636126867,270
0,1636126870,271
0,1636126873,272
0,1636126876,273
0,1636126879,274
0,1636126882,275
0,1636126885,276
0,1636126888,277
0,1636126891,278
0,1636126894,279
0,1636126897,280
0,1636126901,281
0,1636126904,282
0,1636126907,283
0,1636126910,284
0,1636126913,285
0,1636126916,286
0,1636126919,287
0,1636126922,288
0,1636126925,289
0,1636126928,290
0,1636126931,291
0,1636126934,292
0,1636126937,293
0,1636126940,294
0,1636126943,295
0,1636126946,296
0,1636126949,297
0,1636126952,298
0,1636126955,299
0,1636126958,300
0,1636126961,301
0,1636126964,302
0,1636126967,303
0,1636126970,304
0,1636126973,305
0,1636126976,306
0,1636126979,307
0,1636126982,308
0,1636126985,309
0,1636126988,310
0,1636126991,311
0,1636126994,312
0,1636126997,313
0,1636127000,314
0,1636127003,315
0,1636127006,316
0,1636127009,317
0,1636127012,318
0,1636127015,319
0,1636127018,320
0,1636127021,321
0,1636127024,322
0,1636127027,323
0,1636127030,324
0,1636127033,325
0,1636127036,326
0,1636127039,327
0,1636127042,328
0,1636127045,329
0,1636127048,330
0,1636127051,331
0,1636127054,332
0,1636127057,333
0,1636127060,334
0,1636127063,335
0,1636127066,336
